split,context,y,memory_hit,c_h,n1,top_prob,mixer_loss,full_memory_loss,delta_loss
test,"(188, 261)",34,1,48.0,1.0,1.0,4.748025,6.929904,-2.181879
test,"(127, 164)",221,1,322.0,11.0,0.3571428656578064,1.268168,1.039532,0.228636
test,"(308, 69)",175,1,19.0,4.0,0.4736842215061188,3.953154,2.751319,1.201835
test,"(34, 400)",7,1,353.0,27.0,0.37960338592529297,3.238177,2.462772,0.775404
test,"(68, 261)",13,1,36.0,8.0,0.3611111044883728,4.004001,6.146450,-2.142450
test,"(82, 84)",66,1,321.0,10.0,0.3333333432674408,3.379175,1.770843,1.608332
test,"(251, 476)",492,1,116.0,13.0,0.3965517282485962,3.652402,1.822625,1.829777
test,"(186, 207)",183,1,870.0,14.0,0.25287356972694397,4.141397,2.135491,2.005905
test,"(134, 68)",76,1,722.0,31.0,0.2506925165653229,3.561293,2.891882,0.669411
test,"(68, 248)",207,1,641.0,47.0,0.17628705501556396,4.721497,3.856981,0.864515
test,"(278, 31)",14,1,5.0,3.0,0.6000000238418579,1.342309,1.968789,-0.626480
test,"(265, 69)",222,1,115.0,1.0,1.0,4.324937,0.110322,4.214615
test,"(69, 64)",483,1,402.0,9.0,0.8482587337493896,1.217469,0.232899,0.984570
test,"(195, 269)",337,1,608.0,32.0,0.4013157784938812,1.534027,0.949759,0.584268
test,"(13, 196)",92,1,798.0,29.0,0.19298245012760162,2.497696,1.746925,0.750770
test,"(79, 206)",69,1,241.0,14.0,0.24066390097141266,3.895386,1.538486,2.356900
test,"(173, 506)",12,1,2.0,1.0,1.0,0.213981,0.098738,0.115243
test,"(16, 281)",134,1,217.0,31.0,0.17972350120544434,2.542334,2.928319,-0.385985
test,"(208, 253)",272,1,1496.0,16.0,0.8041443824768066,0.143655,0.207161,-0.063506
test,"(389, 133)",404,1,894.0,13.0,0.7203579545021057,1.183319,0.386802,0.796517
test,"(474, 66)",400,1,70.0,10.0,0.3285714387893677,2.184697,1.385205,0.799492
test,"(199, 6)",92,1,129.0,16.0,0.3100775182247162,3.065276,1.258132,1.807144
test,"(241, 424)",12,1,104.0,5.0,0.7596153616905212,2.979098,0.378432,2.600666
test,"(272, 252)",227,1,2224.0,26.0,0.254046767950058,2.088356,1.417507,0.670849
test,"(69, 465)",12,1,42.0,3.0,0.738095223903656,0.277128,0.278044,-0.000915
test,"(208, 253)",272,1,1496.0,16.0,0.8041443824768066,0.096165,0.201992,-0.105827
test,"(208, 38)",233,1,2.0,2.0,0.5,2.967731,1.752799,1.214932
test,"(183, 324)",188,1,284.0,7.0,0.7605633735656738,8.903961,2.159297,6.744664
test,"(133, 2)",134,1,363.0,21.0,0.4683195650577545,1.509369,0.799921,0.709448
test,"(320, 273)",71,1,4.0,1.0,1.0,3.216944,0.304409,2.912535
test,"(396, 13)",18,1,160.0,14.0,0.23749999701976776,7.350412,2.170086,5.180327
test,"(13, 355)",75,1,52.0,2.0,0.9615384340286255,3.017471,0.150222,2.867249
test,"(180, 134)",44,1,1339.0,86.0,0.08513816446065903,4.060410,3.594703,0.465706
test,"(11, 194)",182,1,221.0,27.0,0.22171945869922638,4.182973,3.734719,0.448254
test,"(237, 265)",13,1,80.0,22.0,0.36250001192092896,3.003031,3.230105,-0.227074
test,"(179, 217)",213,1,93.0,27.0,0.301075279712677,5.337207,3.744044,1.593163
test,"(25, 134)",43,1,1784.0,97.0,0.08464125543832779,4.436419,3.215582,1.220837
test,"(200, 83)",82,1,634.0,65.0,0.25867506861686707,3.299600,1.658430,1.641170
test,"(43, 72)",179,1,194.0,5.0,0.6855670213699341,1.692646,0.456905,1.235740
test,"(186, 419)",191,1,189.0,21.0,0.16931216418743134,3.560365,1.837767,1.722599
test,"(191, 308)",304,1,63.0,9.0,0.3650793731212616,5.432635,1.140486,4.292149
test,"(437, 7)",83,1,519.0,60.0,0.09441233426332474,2.953750,3.065702,-0.111951
test,"(205, 268)",8,1,29.0,13.0,0.2068965584039688,1.975268,3.116424,-1.141155
test,"(193, 461)",134,1,153.0,19.0,0.5751634240150452,0.554583,0.484840,0.069743
